,tr_ACC,tr_BACC,tr_MCC,tr_AUC,tr_F1,tr_CE,val_ACC,val_BACC,val_MCC,val_AUC,val_F1,val_CE,te_ACC,te_BACC,te_MCC,te_AUC,te_F1,te_CE,model_name,feature_selector,feature_num,random_state,hyperparams
fold_1,0.9484,0.971,0.9211,0.9944,0.9438,0.5567551292837734,0.6229,0.5476,0.3903,0.7974,0.5392,1.092441631582895,0.6393,0.5154,0.3854,0.8479,0.5313,1.06965887257461,RandomForestClassifier,mutual_info,171,0,
mean,0.9484,0.971,0.9211,0.9944,0.9438,0.5567551292837734,0.6229,0.5476,0.3903,0.7974,0.5392,1.092441631582895,0.6393,0.5154,0.3854,0.8479,0.5313,1.06965887257461,RandomForestClassifier,mutual_info,171,0,
full,0.9198,0.9523,0.8774,0.9891,0.9115,0.5785492554089859,,,,,,,0.6438,0.5717,0.4123,0.8421,0.5627,1.0601009811632685,RandomForestClassifier,mutual_info,171,0,
,tr_ACC,tr_BACC,tr_MCC,tr_AUC,tr_F1,tr_CE,val_ACC,val_BACC,val_MCC,val_AUC,val_F1,val_CE,te_ACC,te_BACC,te_MCC,te_AUC,te_F1,te_CE,model_name,feature_selector,feature_num,random_state,hyperparams
fold_1,0.7679,0.5199,0.6317,0.8743,0.5499,1.2224729324730372,0.5943,0.4015,0.2984,0.7966,0.3979,1.3079964739107508,0.6027,0.3339,0.2677,0.7294,0.3263,1.412177933965857,GaussianProcessClassifier,RFE,74,0,
mean,0.7679,0.5199,0.6317,0.8743,0.5499,1.2224729324730372,0.5943,0.4015,0.2984,0.7966,0.3979,1.3079964739107508,0.6027,0.3339,0.2677,0.7294,0.3263,1.412177933965857,GaussianProcessClassifier,RFE,74,0,
full,0.8167,0.6075,0.7015,0.9203,0.6418,1.0580979559270831,,,,,,,0.6073,0.3497,0.2836,0.755,0.3413,1.3452343764983157,GaussianProcessClassifier,RFE,74,0,
